MANZENT;Poblacion;id
13127121002007;185;602
13127111001001;92;603
13127061004024;158;604
13127071001032;132;605
13127041004004;96;606
13127041002002;136;607
13127021003008;49;608
13127041004009;142;609
13127041003024;96;610
13127061005022;136;611
13127041003005;133;612
13127021002029;246;613
13127111005006;101;614
13127061006010;159;615
13127061006008;116;616
13127061001024;129;617
13127121002004;102;618
13127051001036;113;619
13127041003045;96;620
13127061001023;149;621
13127061006011;160;622
13127061006021;112;623
13127041002004;179;624
13127061006005;164;625
13127091001021;112;626
13127111005018;69;627
13127061006009;137;628
13127111003011;109;629
13127021002023;63;630
13127091003010;155;631
13127061006006;161;632
13127041004006;158;633
13127061006007;163;634
13127111005015;92;635
13127021003011;236;636
13127111004004;137;637
13127041002003;160;638
13127091003005;125;639
13127061001012;168;640
13127061007011;43;641
13127021003005;72;642
13127021003004;621;643
13127041003048;105;644
13127041002010;146;645
13127051001007;169;646
13127041002009;85;647
13127071003002;61;648
13127021003012;92;649
13127061005026;118;650
13127021002013;109;651
13127011001020;16;652
13127041004023;70;653
13127111005003;119;654
13127021003013;93;655
13127081001006;149;656
13127111004009;66;657
13127011001008;0;658
13127131003004;112;659
13127061007023;131;660
13127041002012;96;661
13127041002001;100;662
13127061005020;114;663
13127061007006;128;664
13127061004031;96;665
